well	Pi_conc	sensor_conc	date	data_file	Time	fluorescence	row	column	condition
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	195	17646	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	208	17520	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	221	17562	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	234	17457	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	247	17557	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	260	17431	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	273	17498	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	286	17415	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	299	17358	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	312	17323	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	325	17465	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	338	17364	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	351	17380	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	364	17365	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	377	17311	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	390	17259	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	403	17260	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	416	17252	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	429	17169	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	442	17168	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	455	17206	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	468	17185	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	481	17127	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	494	17078	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	507	17135	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	520	17152	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	533	17185	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	546	17064	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	559	17118	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	572	17195	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	585	17004	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	598	17165	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	611	16981	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	624	17008	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	637	16983	A	2	20181107-A-2-4.5-10
