sample	well	conc	GEF_conc	date	k_est	cutoff_time	data_file
PE10_G80A	A3	10	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE10_G80A	A4	12	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE11_T34G	E5	0.25	5	20180904	0.01		GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE11_T34G	E5	0.5	5	20180904	0.07		GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE11_T34G	E6	0.75	5	20180904	0.07		GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE11_T34G	E6	1	5	20180904	0.02		GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE11_T34G	E7	1.25	5	20180904	0.02		GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE11_T34G	E7	1.5	5	20180904	0.02		GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE11_T34G	E8	1.75	5	20180904	0.02		GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE11_T34G	E8	2	5	20180904	0.01		GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE11_T34G	G5	2.25	5	20180904	0.01	1500	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE11_T34G	G5	2.5	5	20180904	0.01		GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE11_T34G	G6	2.75	5	20180904	0.01		GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE11_T34G	G6	3	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE11_T34G	G7	3.25	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE11_T34G	G7	3.5	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE11_T34G	G8	4	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE11_T34G	G8	4.5	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE11_T34G	A5	5	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE11_T34G	A5	5.5	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE11_T34G	A6	6	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE11_T34G	A7	7	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE11_T34G	A8	8	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE11_T34G	A6	9	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE11_T34G	A7	10	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE11_T34G	A8	12	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE12_H141R	E9	0.25	5	20180904	0.08		GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE12_H141R	E9	0.5	5	20180904	0.01		GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE12_H141R	E10	0.75	5	20180904	0.01		GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE12_H141R	E10	1	5	20180904	0.01		GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE12_H141R	E11	1.25	5	20180904	0.01		GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE12_H141R	E11	1.5	5	20180904	0.01		GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE12_H141R	E12	1.75	5	20180904	0.006		GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE12_H141R	E12	2	5	20180904	0.005		GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE12_H141R	G9	2.25	5	20180904	0.005		GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE12_H141R	G9	2.5	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE12_H141R	G10	2.75	5	20180904	0.008		GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE12_H141R	G10	3	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE12_H141R	G11	3.25	5	20180904	0.003		GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE12_H141R	G11	3.5	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE12_H141R	G12	4	5	20180904	0.003		GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE12_H141R	G12	4.5	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE12_H141R	A9	5	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE12_H141R	A9	5.5	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE12_H141R	A10	6	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE12_H141R	A11	7	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE12_H141R	A12	8	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE12_H141R	A10	9	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE12_H141R	A11	10	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE12_H141R	A12	12	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE13_T34Q	G7	0.25	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE13_T34Q	C7	0.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE13_T34Q	G8	0.75	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE13_T34Q	G9	1	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE13_T34Q	G10	1.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE13_T34Q	C8	1.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE13_T34Q	A7	1.75	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE13_T34Q	A8	2	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE13_T34Q	C9	2	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE13_T34Q	G11	2.25	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE13_T34Q	A9	2.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE13_T34Q	A10	3	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE13_T34Q	C10	3	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE13_T34Q	G12	3.25	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE13_T34Q	C11	3.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE13_T34Q	A11	3.75	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE13_T34Q	A12	4	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE13_T34Q	C12	4.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE13_T34Q	G7	5.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE13_T34Q	G8	7	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE13_T34Q	G9	8	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE13_T34Q	G10	9	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE13_T34Q	G11	10	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE13_T34Q	G12	12	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE14_Y157A	C1	0.25	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	E1	0.5	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
