sample	well	conc	GEF_conc	date	k_est	span1	f_plateau	cutoff_time	back_signal	fit	data_file
PE1_WT	A6	12	5	20180906	0.007	9000	22638	3000	exp	exp	GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt
PE1_WT	C6	12	5	20181003	0.007	9000	22638		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE1_WT	C6	12	5	20181003	0.007	9000	22638		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE1_WT	G6	12	5	20181106	0.004	8600	13900		exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE2_T34A	A7	0.25	5	20180824	0.03	250	460		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay.txt
PE2_T34A	G7	0.5	5	20180824	0.02	500	800		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay4.txt
PE2_T34A	A8	0.75	5	20180824	0.02	770	1000		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay.txt
PE2_T34A	A9	1	5	20180824	0.02	1100	1886.5		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay.txt
PE2_T34A	A7	1	5	20181003	0.01	1100	1700		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt
PE2_T34A	A10	1.5	5	20180824	0.01	1800	2829.75		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay.txt
PE2_T34A	G8	1.5	5	20180824	0.01	1850	2829.75		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay4.txt
PE2_T34A	C7	1.75	5	20180824	0.01	2350	3301.375		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt
PE2_T34A	C8	2	5	20180824	0.009	2900	3773		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt
PE2_T34A	G9	2	5	20180824	0.009	2450	3773		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay4.txt
PE2_T34A	A8	2	5	20181003	0.009	2400	3200		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt
PE2_T34A	A11	2.25	5	20180824	0.008	2500	4244.625		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay.txt
PE2_T34A	C9	2.5	5	20180824	0.008	3000	4900		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt
PE2_T34A	G10	3	5	20180824	0.008	3500	5659.5		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay4.txt
PE2_T34A	A9	3	5	20181003	0.008	3250	5200		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt
PE2_T34A	C10	3	5	20180824	0.008	4200	6200		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt
PE2_T34A	A12	3.25	5	20180824	0.006	3600	5800		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay.txt
PE2_T34A	G11	3.5	5	20180824	0.006	4000	6602.75		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay4.txt
PE2_T34A	C11	3.75	5	20180824	0.006	4600	7074.375		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt
PE2_T34A	C12	4	5	20180824	0.006	4650	6500		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt
PE2_T34A	A10	4	5	20181003	0.006	4350	6900		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt
PE2_T34A	G12	4.5	5	20180824	0.005	4300	7000		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay4.txt
PE2_T34A	E7	5	5	20180824	0.004	5000	9800		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
PE2_T34A	A11	5	5	20181003	0.004	5000	8500		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt
PE2_T34A	A12	6	5	20181003	0.004	5700	10000		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt
PE2_T34A	E8	7	5	20180824	0.004	7500	14000	1800	exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
PE2_T34A	C7	7	5	20181003	0.004	6000	13000		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE2_T34A	E9	8	5	20180824	0.004	7500	16000		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
PE2_T34A	C8	8	5	20181003	0.004	7600	15500		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE2_T34A	E10	9	5	20180824	0.004	8700	18000		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
PE2_T34A	C9	9	5	20181003	0.004	8000	17200		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE2_T34A	E11	10	5	20180824	0.004	9500	18865		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
PE2_T34A	C10	10	5	20181003	0.004	9100	19000		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE2_T34A	C11	11	5	20181003	0.004	9500	20000		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE2_T34A	E12	12	5	20180824	0.004	10000	22000		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
PE2_T34A	C12	12	5	20181003	0.004	9000	23000		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE10_G80A	E1	0.25	5	20180904	0.03	190	469.5		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE10_G80A	E1	0.5	5	20180904	0.01	520	700		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE10_G80A	E2	0.75	5	20180904	0.01	750	1100		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE10_G80A	E2	1	5	20180904	0.01	950	1300		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE10_G80A	E3	1.25	5	20180904	0.01	1500	2100		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE10_G80A	E3	1.5	5	20180904	0.007	1500	1900		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE10_G80A	E4	1.75	5	20180904	0.005	2200	3000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE10_G80A	E4	2	5	20180904	0.005	2000	2500		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE10_G80A	G1	2.25	5	20180904	0.003	2500	4200		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE10_G80A	G1	2.5	5	20180904	0.003	3000	4500		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE10_G80A	G2	2.75	5	20180904	0.005	3000	4900		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE10_G80A	G2	3	5	20180904	0.004	3400	5834		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE10_G80A	G3	3.25	5	20180904	0.003	4200	5900		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE10_G80A	G3	3.5	5	20180904	0.003	4700	6573		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE10_G80A	G4	4	5	20180904	0.0045	5000	7500	1000	exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE10_G80A	G4	4.5	5	20180904	0.003	5800	8000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE10_G80A	A1	5	5	20180904	0.003	4800	8700		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE10_G80A	A1	5.5	5	20180904	0.003	5000	8000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE10_G80A	A2	6	5	20180904	0.003	7000	11268		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE10_G80A	A3	7	5	20180904	0.003	8000	13000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE10_G80A	A4	8	5	20180904	0.001	8500	15024		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE10_G80A	A2	9	5	20180904	0.001	8000	16000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE10_G80A	A3	10	5	20180904	0.001	8500	18000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE10_G80A	A4	12	5	20180904	0.001	10000	21000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE11_T34G	E5	0.25	5	20180904	0.01	125	480		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE11_T34G	E5	0.5	5	20180904	0.07	320	700		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE11_T34G	E6	0.75	5	20180904	0.07	550	1300		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE11_T34G	E6	1	5	20180904	0.02	710	1300		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE11_T34G	E7	1.25	5	20180904	0.02	1000	2200		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE11_T34G	E7	1.5	5	20180904	0.015	1000	1600		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE11_T34G	E8	1.75	5	20180904	0.02	1800	3200		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE11_T34G	E8	2	5	20180904	0.01	1900	2500		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE11_T34G	G5	2.25	5	20180904	0.01	2200	4200		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE11_T34G	G5	2.5	5	20180904	0.01	2500	4695		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE11_T34G	G6	2.75	5	20180904	0.01	3000	5500		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE11_T34G	G6	3	5	20180904	0.008	3000	5800		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE11_T34G	G7	3.25	5	20180904	0.007	3000	6500		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE11_T34G	G7	3.5	5	20180904	0.007	4000	6573		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE11_T34G	G8	4	5	20180904	0.007	3200	7900		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE11_T34G	G8	4.5	5	20180904	0.007	4500	8900		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE11_T34G	A5	5	5	20180904	0.007	5000	9390		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE11_T34G	A5	5.5	5	20180904	0.007	5000	10329		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE11_T34G	A6	6	5	20180904	0.007	5700	11000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE11_T34G	A7	7	5	20180904	0.007	5700	13146		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE11_T34G	A8	8	5	20180904	0.001	6300	15024		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE11_T34G	A6	9	5	20180904	0.001	6500	14000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE11_T34G	A7	10	5	20180904	0.001	8100	17000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE11_T34G	A8	12	5	20180904	0.001	8200	18000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE12_H141R	E9	0.25	5	20180904	0.08	140	469.5		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE12_H141R	E9	0.5	5	20180904	0.008	220	400		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE12_H141R	E10	0.75	5	20180904	0.01	580	1150		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE12_H141R	E10	1	5	20180904	0.01	680	1250		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE12_H141R	E11	1.25	5	20180904	0.01	1000	2000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE12_H141R	E11	1.5	5	20180904	0.05	1000	1650		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE12_H141R	E12	1.75	5	20180904	0.006	1254.75	2500		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE12_H141R	E12	2	5	20180904	0.003	1200	2200		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE12_H141R	G9	2.25	5	20180904	0.005	2000	3500		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE12_H141R	G9	2.5	5	20180904	0.0046	2500	3800		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE12_H141R	G10	2.75	5	20180904	0.008	2200	5000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE12_H141R	G10	3	5	20180904	0.0025	2900	4000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE12_H141R	G11	3.25	5	20180904	0.003	2800	5000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE12_H141R	G11	3.5	5	20180904	0.0022	3400	4700		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE12_H141R	G12	4	5	20180904	0.003	2868	7512		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE12_H141R	G12	4.5	5	20180904	0.001	3400	7500		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE12_H141R	A9	5	5	20180904	0.001	4000	8000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE12_H141R	A9	5.5	5	20180904	0.001	4200	7800		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE12_H141R	A10	6	5	20180904	0.001	4500	9000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE12_H141R	A11	7	5	20180904	0.001	5000	11000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE12_H141R	A10	9	5	20180904	0.001	6400	11100		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE12_H141R	A11	10	5	20180904	0.001	6700	12000		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE12_H141R	A12	12	5	20180904	0.001	7500	14600		exp	exp	GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE14_Y157A	C1	0.25	5	20180905	0.007	186.25	418.75		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	E1	0.5	5	20180905	0.007	372.5	837.5		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE14_Y157A	C2	0.75	5	20180905	0.01	700	1000		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	C3	1	5	20180905	0.01	1000	1675		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	C4	1.5	5	20180905	0.007	1600	2300		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	E2	1.5	5	20180905	0.005	1400	2600		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE14_Y157A	C1	1.75	5	20180905	0.008	1000	1500		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE14_Y157A	C2	2	5	20180905	0.007	1200	2000		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE14_Y157A	E3	2	5	20180905	0.007	1900	3350		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE14_Y157A	C5	2.25	5	20180905	0.006	2400	3500		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	C3	2.5	5	20180905	0.005	1800	2600		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE14_Y157A	C4	3	5	20180905	0.007	2000	2900		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE14_Y157A	E4	3	5	20180905	0.004	2900	5900		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE14_Y157A	C6	3.25	5	20180905	0.004	3300	5100		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
